2023-11-01 02:31:23 startup archives unpack
2023-11-01 02:31:23 install libssl3:amd64 <none> 3.0.11-1~deb12u2
2023-11-01 02:31:23 status triggers-pending libc-bin:amd64 2.36-9+deb12u3
2023-11-01 02:31:23 status half-installed libssl3:amd64 3.0.11-1~deb12u2
2023-11-01 02:31:23 status unpacked libssl3:amd64 3.0.11-1~deb12u2
2023-11-01 02:31:23 install openssl:amd64 <none> 3.0.11-1~deb12u2
2023-11-01 02:31:23 status half-installed openssl:amd64 3.0.11-1~deb12u2
2023-11-01 02:31:23 status unpacked openssl:amd64 3.0.11-1~deb12u2
2023-11-01 02:31:23 install ca-certificates:all <none> 20230311
2023-11-01 02:31:23 status half-installed ca-certificates:all 20230311
2023-11-01 02:31:23 status unpacked ca-certificates:all 20230311
2023-11-01 02:31:23 install libapr1:amd64 <none> 1.7.2-3
2023-11-01 02:31:23 status half-installed libapr1:amd64 1.7.2-3
2023-11-01 02:31:23 status unpacked libapr1:amd64 1.7.2-3
2023-11-01 02:31:23 install libexpat1:amd64 <none> 2.5.0-1
2023-11-01 02:31:23 status half-installed libexpat1:amd64 2.5.0-1
2023-11-01 02:31:23 status unpacked libexpat1:amd64 2.5.0-1
2023-11-01 02:31:23 install libgdbm6:amd64 <none> 1.23-3
2023-11-01 02:31:23 status half-installed libgdbm6:amd64 1.23-3
2023-11-01 02:31:23 status unpacked libgdbm6:amd64 1.23-3
2023-11-01 02:31:23 install libaprutil1:amd64 <none> 1.6.3-1
2023-11-01 02:31:23 status half-installed libaprutil1:amd64 1.6.3-1
2023-11-01 02:31:23 status unpacked libaprutil1:amd64 1.6.3-1
2023-11-01 02:31:23 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2023-11-01 02:31:23 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 02:31:23 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-11-01 02:31:23 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
